aarch64-linux-gnu-binutils 2.42-1
xorg-server 21.1.13-1
xorg-server-common 21.1.13-1
xorg-setxkbmap 1.3.4-1
xorg-xauth 1.1.3-1
xorg-xinit 1.4.2-1
xorg-xkbcomp 1.4.7-1
xorg-xmodmap 1.0.11-1
xorg-xprop 1.2.7-1
xorg-xrandr 1.5.2-1
xorg-xrdb 1.2.2-1
xorg-xset 1.2.5-1
xorgproto 2024.1-2
xsel 1.2.1-1
xvidcore 1.3.7-2
xxhash 0.8.2-1
xz 5.6.2-1
yt-dlp 2024.05.27-1
zathura 0.5.6-2
zathura-pdf-poppler 0.3.2-5
zeromq 4.3.5-2
zimg 3.0.5-1
zlib 1:1.3.1-2
zstd 1.5.6-1
