aalib 1.4rc5-17
perl-mailtools 2.21-7
perl-timedate 2.33-5
php 8.3.3-1
php-apache 8.3.3-1
php-cgi 8.3.3-1
php-gd 8.3.3-1
php-pgsql 8.3.3-1
pinentry 1.2.1-3
pixman 0.43.2-1
pkgconf 2.1.0-2
polkit 124-2
popt 1.19-1
portaudio 1:19.7.0-2
postgresql-libs 16.1-5
procps-ng 4.0.4-2
prrte 3.0.4-1
psmisc 23.6-1
pulseaudio 17.0-3
pulseaudio-alsa 1:1.2.7.1-2
python 3.11.7-1
r 4.3.2-4
rav1e 0.7.1-1
re2 1:20240201-1
readline 8.2.010-1
ripgrep 14.1.0-1
rlwrap 0.46.1-1
rtkit 0.13-2
rubberband 3.3.0-1
sdl2 2.30.0-1
sed 4.9-3
shaderc 2023.7-2
shadow 4.14.5-1
shared-mime-info 2.4-1
slang 2.3.3-2
snappy 1.1.10-1
sound-theme-freedesktop 0.8-5
source-highlight 3.1.9-11
speex 1.2.1-1
speexdsp 1.2.1-1
spirv-tools 2023.5-1
sqlite 3.45.1-1
srt 1.5.3-1
stow 2.3.1-3
sudo 1.9.15.p5-1
svt-av1 1.8.0-1
systemd 255.3-1
systemd-libs 255.3-1
systemd-sysvcompat 255.3-1
taglib 2.0-1
tar 1.35-2
tcl 8.6.13-1
tdb 1.4.9-1
terminus-font 4.49.1-6
texinfo 7.1-2
thin-provisioning-tools 1.0.11-1
tk 8.6.13-2
tmux 3.4-4
tpm2-tss 4.0.1-1
tracker3 3.6.0-3
tree-sitter 0.20.10-2
twolame 0.4.0-3
tzdata 2024a-1
unibilium 2.1.1-1
unzip 6.0-20
util-linux 2.39.3-1
util-linux-libs 2.39.3-1
v4l-utils 1.26.1-1
vapoursynth R65-1
vid.stab 1.1.1-1
vim 9.1.0080-1
vim-runtime 9.1.0080-1
vmaf 3.0.0-1
vulkan-icd-loader 1.3.276-1
wavpack 5.6.0-1
wayland 1.22.0-1
webkit2gtk 2.42.5-1
webkit2gtk-4.1 2.42.5-1
webrtc-audio-processing-1 1.3-2
which 2.21-6
woff2 1.0.2-4
wpa_supplicant 2:2.10-8
wpebackend-fdo 1.14.2-1
x264 3:0.164.r3108.31e19f9-1
x265 3.5-3
xcb-proto 1.16.0-1
xclip 0.13-4
xdg-dbus-proxy 0.1.5-1
xf86-input-libinput 1.4.0-1
xkeyboard-config 2.41-1
xorg-fonts-encodings 1.0.7-1
xorg-server 21.1.11-1
xorg-server-common 21.1.11-1
xorg-setxkbmap 1.3.4-1
xorg-xauth 1.1.2-1
xorg-xinit 1.4.2-1
xorg-xkbcomp 1.4.7-1
xorg-xmodmap 1.0.11-1
xorg-xprop 1.2.7-1
xorg-xrdb 1.2.2-1
xorgproto 2023.2-1
xsel 1.2.1-1
xvidcore 1.3.7-2
xxhash 0.8.2-1
xz 5.4.6-1
zeromq 4.3.5-2
zimg 3.0.5-1
zip 3.0-11
zlib 1:1.3.1-1
zstd 1.5.5-1
